name,city,country,country_code,iata,icao,x,y,elevation,apid,timezone,dst,tz_id,type,source,ap_uid,ap_name
Southwest Michigan Regional Airport,Benton Harbor,United States,,BEH,,-86.4285,42.1285833,643,6904,-5,A,America/New_York,airport,User,user,"Benton Harbor-Southwest Mi. (BEH), United States"
Southwest Oregon Regional Airport,North Bend,United States,,OTH,KOTH,-124.24600219726562,43.41709899902344,17,5757,-8,A,America/Los_Angeles,airport,OurAirports,user,"North Bend-Southwest Orego. (OTH), United States"
Southwest Washington Regional Airport,Kelso,United States,,KLS,KKLS,-122.898002625,46.11800003049999,20,7938,-8,A,America/Los_Angeles,airport,OurAirports,user,"Kelso-Southwest Washington. (KLS), United States"
Southwest Wyoming Regional Airport,Rock Springs,United States,,RKS,KRKS,-109.065001,41.5942,6764,5766,-7,A,America/Denver,airport,OurAirports,user,"Rock Springs-Southwest Wyo. (RKS), United States"
Sovetskiy Airport,Sovetskiy,Russia,,OVS,USHS,63.60191345214844,61.326622009277344,351,6140,5,N,Asia/Yekaterinburg,airport,OurAirports,user,"Sovetskiy Airport (OVS), Russia"
Soyo Airport,Soyo,Angola,,SZA,FNSO,12.371800422668457,-6.141089916229248,15,958,1,N,Africa/Luanda,airport,OurAirports,,"Soyo Airport (SZA), Angola"
Space Coast Regional Airport,Titusville,United States,,TIX,KTIX,-80.799201965332,28.514799118042,34,9199,-5,A,America/New_York,airport,OurAirports,user,"Titusville-Space Coast Reg. (TIX), United States"
Spangdahlem Air Base,Spangdahlem,Germany,,SPM,ETAD,6.69250011444,49.9726982117,1197,750,1,E,Europe/Berlin,airport,OurAirports,,"Spangdahlem Air Base (SPM), Germany"
Sparrevohn LRRS Airport,Sparrevohn,United States,,SVW,PASV,-155.5740051,61.09740067,1585,3421,-9,A,America/Anchorage,airport,OurAirports,,"Sparrevohn LRRS Airport (SVW), United States"
Spartanburg Downtown Memorial Airport,Spartangurg,United States,,SPA,KSPA,-81.956497192383,34.915699005127,801,13233,-5,A,,airport,OurAirports,user,"Spartangurg-Spartanburg Do. (SPA), United States"
Sparti Airport,Sparti,Greece,,SPJ,LGSP,22.52630043029785,36.973899841308594,500,1478,2,E,Europe/Athens,airport,OurAirports,,"Sparti Airport (SPJ), Greece"
Spencer Municipal Airport,Spencer,United States,,SPW,KSPW,-95.202796936035,43.165500640869,1339,6446,-6,A,America/Chicago,airport,OurAirports,user,"Spencer Municipal Airport (SPW), United States"
